TaxName	species	Abundance_per_rank_RawFile	SampleCategory	RawFile
Prevotella melaninogenica	28132	520.45326	Caries	Caries-E03
Veillonella dispar	39778	406.99784	Caries	Caries-E03
Prevotella pallens	60133	365.62936	Caries	Caries-E03
Prevotella sp. oral taxon 473	712469	351.44658	Caries	Caries-E03
Streptococcus parasanguinis	1318	333.34245	Caries	Caries-E03
Stomatobaculum longum	796942	314.21753	Caries	Caries-E03
Neisseria mucosa	488	284.61231	Caries	Caries-E03
Streptococcus mitis	28037	277.56316	Caries	Caries-E03
Actinomyces graevenitzii	55565	257.40833	Caries	Caries-E03
Veillonella sp. oral taxon 158	671228	235.7203	Caries	Caries-E03
Leptotrichia wadei	157687	219.37713	Caries	Caries-E03
Fusobacterium periodonticum	860	191.06398	Caries	Caries-E03
Porphyromonas sp. oral taxon 279	712438	181.95981	Caries	Caries-E03
Actinomyces sp. oral taxon 172	712118	176.59972	Caries	Caries-E03
Leptotrichia sp. oral taxon 215	712359	160.0	Caries	Caries-E03
Gemella sanguinis	84135	146.03036	Caries	Caries-E03
Streptococcus infantis	68892	144.57457	Caries	Caries-E03
Oribacterium sinus	237576	130.34454	Caries	Caries-E03
candidate division TM7 single-cell isolate TM7a	447454	125.29612	Caries	Caries-E03
Corynebacterium matruchotii	43768	100.0	Caries	Caries-E03
Neisseria subflava	28449	92.94359	Caries	Caries-E03
Actinomyces odontolyticus	1660	91.22159	Caries	Caries-E03
Leptotrichia shahii	157691	87.82368	Caries	Caries-E03
Lachnospiraceae bacterium oral taxon 082	712976	85.99108	Caries	Caries-E03
Megasphaera micronuciformis	187326	85.83619	Caries	Caries-E03
Selenomonas sp. oral taxon 149	712535	68.5673	Caries	Caries-E03
Fusobacterium nucleatum	851	64.17117	Caries	Caries-E03
Peptostreptococcus stomatis	341694	62.65542	Caries	Caries-E03
Tannerella sp. oral taxon BU063	712710	60.0	Caries	Caries-E03
Prevotella scopos	589437	48.19255	Caries	Caries-E03
Selenomonas sputigena	69823	45.67892	Caries	Caries-E03
Leptotrichia buccalis	40542	45.58815	Caries	Caries-E03
Streptococcus australis	113107	44.65918	Caries	Caries-E03
Granulicatella adiacens	46124	44.05333	Caries	Caries-E03
Atopobium parvulum	1382	43.55814	Caries	Caries-E03
Porphyromonas gingivalis	837	40.0	Caries	Caries-E03
Gemella haemolysans	1379	40.0	Caries	Caries-E03
Prevotella buccalis	28127	40.0	Caries	Caries-E03
Lachnoanaerobaculum saburreum	467210	40.0	Caries	Caries-E03
Polynucleobacter necessarius	576610	40.0	Caries	Caries-E03
Abiotrophia defectiva	46125	27.30563	Caries	Caries-E03
Selenomonas flueggei	135080	26.47278	Caries	Caries-E03
Prevotella sp. oral taxon 299	652716	25.36971	Caries	Caries-E03
Streptococcus oligofermentans	195041	25.23609	Caries	Caries-E03
Prevotella veroralis	28137	23.40899	Caries	Caries-E03
Streptococcus gordonii	1302	23.04592	Caries	Caries-E03
Alloprevotella tannerae	76122	22.67394	Caries	Caries-E03
Veillonella parvula	29466	21.74984	Caries	Caries-E03
Leptotrichia goodfellowii	157692	21.7303	Caries	Caries-E03
Actinomyces sp. oral taxon 180	651609	21.53398	Caries	Caries-E03
Prevotella salivae	228604	20.248	Caries	Caries-E03
Neisseria meningitidis	487	20.0	Caries	Caries-E03
Filifactor alocis	143361	20.0	Caries	Caries-E03
Campylobacter concisus	199	20.0	Caries	Caries-E03
Prevotella oris	28135	20.0	Caries	Caries-E03
Streptococcus cristatus	45634	20.0	Caries	Caries-E03
Lachnospiraceae bacterium oral taxon 500	712991	20.0	Caries	Caries-E03
Capnocytophaga sp. oral taxon 329	706435	20.0	Caries	Caries-E03
Prevotella nigrescens	28133	20.0	Caries	Caries-E03
Alloprevotella rava	671218	20.0	Caries	Caries-E03
Fusobacterium sp. oral taxon 370	712288	20.0	Caries	Caries-E03
Prevotella sp. oral taxon 306	712461	20.0	Caries	Caries-E03
Actinomyces massiliensis	461393	20.0	Caries	Caries-E03
Selenomonas sp. oral taxon 138	712532	20.0	Caries	Caries-E03
Prevotella saccharolytica	633701	20.0	Caries	Caries-E03
Bacteroides pyogenes	310300	20.0	Caries	Caries-E03
Prevotella baroniae	305719	20.0	Caries	Caries-E03
Actinomyces timonensis	1288391	20.0	Caries	Caries-E03
Mycoplasma salivarium	2124	20.0	Caries	Caries-E03
Prevotella multisaccharivorax	310514	20.0	Caries	Caries-E03
Mycoplasma mycoides	2102	20.0	Caries	Caries-E03
Aggregatibacter aphrophilus	732	19.19101	Caries	Caries-E03
Rothia mucilaginosa	43675	1356.81931	Caries	Caries-E04
Prevotella histicola	470565	796.70146	Caries	Caries-E04
Veillonella atypica	39777	661.64893	Caries	Caries-E04
Haemophilus parainfluenzae	729	622.59242	Caries	Caries-E04
Streptococcus salivarius	1304	585.80652	Caries	Caries-E04
Prevotella melaninogenica	28132	520.83349	Caries	Caries-E04
Veillonella dispar	39778	442.30034	Caries	Caries-E04
Prevotella pallens	60133	369.20462	Caries	Caries-E04
Streptococcus parasanguinis	1318	354.22869	Caries	Caries-E04
Prevotella sp. oral taxon 473	712469	341.8747	Caries	Caries-E04
Stomatobaculum longum	796942	312.76093	Caries	Caries-E04
Neisseria mucosa	488	284.25664	Caries	Caries-E04
Streptococcus mitis	28037	282.31276	Caries	Caries-E04
Actinomyces graevenitzii	55565	280.72904	Caries	Caries-E04
Veillonella sp. oral taxon 158	671228	249.14043	Caries	Caries-E04
Leptotrichia wadei	157687	205.99404	Caries	Caries-E04
Fusobacterium periodonticum	860	180.0	Caries	Caries-E04
Porphyromonas sp. oral taxon 279	712438	180.0	Caries	Caries-E04
Actinomyces sp. oral taxon 172	712118	170.0072	Caries	Caries-E04
Leptotrichia sp. oral taxon 215	712359	163.06066	Caries	Caries-E04
Streptococcus infantis	68892	150.54649	Caries	Caries-E04
Gemella sanguinis	84135	144.66651	Caries	Caries-E04
Oribacterium sinus	237576	137.99834	Caries	Caries-E04
